출원번호,일련번호,특허유형
1020190150972,1001358910000,B1
1020190150972,2001337590000,Y1
1020190145141,1015861560000,B1
1020190145141,1020030073661,A
1020080094705,2020000008520,U
1020080094705,1009166910000,B1
1020190090168,1020040108281,A
1020190090168,1020120052714,A
1020190090168,1020160128138,A
1020190090168,1020170029959,A
1020140128546,1020140060646,A
1020140128546,1020020059142,A
1020120010182,2019780000147,Y1
1020120010182,1020000027655,A
1020120010182,2019990036213,U
1020120010182,2019990035727,U
1020120115801,1008823020000,B1
1020120115801,1009185220000,B1
1020120115801,1009489080000,B1
1020110053773,1020110016089,A
1020110053773,2019890021403,U
1020140113040,1020040043786,A
1020140113040,1020140045649,A
1020140113040,2004468320000,Y1
1020140057659,1020130017758,A
1020120064254,1009770120000,B1
1020120064254,1009770120000,B1
1020120064254,1005144390000,B1
1020120064254,1009832370000,B1
1020100095538,1003062890000,B1
1020100095538,1020020006215,A
1020070073085,,20-0167810 Y1
1020070073085,,20-1987-0002741 Y1
1020070073085,,20-0425871 Y1
1020070073085,,10-0411514 B1
1020090011914,1007514850000,B1
1020090011914,1002922440000,B1
1020090011914,2001796920000,Y1
1020090011914,1002937460000,B1
1020070007807,,100421926 B1
1020060117167,2003604330000,Y1
1020060117167,2003952310000,Y1
1020060117167,2003952340000,Y1
1020060117167,2004306830000,Y1
1020060117167,2004282930000,Y1
1020050063115,1020020046401,A
1020050063115,1020030097304,A
1020050063115,2003072350000,Y1
1020050063115,2003624540000,Y1
1020050063115,2019900004520,Y1
1020050063115,2019940010582,U
1020090017969,1020080100914,A
1020120012600,1009874960000,B1
1020120012600,1020110056165,A
1020090049835,2004000230000,Y1
1020090049835,1020030067281,A
1020090049835,1020040107168,A
1020080040606,2003527990000,Y1
1020080040606,2019980068914,U
1020080040606,2019990038705,U
1020080040606,1020060112938,A
1020080032312,2003527990000,Y1
1020080032312,1020000055867,A
1020080032312,1007664690000,B1
1020160122989,1020130121475,A
1020160122989,2019810001357,Y1
1020160122989,2004387930000,Y1
1020160122989,2001870050000,Y1
1020110117023,1019950029699,A
1020110117023,1020100037308,A
1020190006579,1020050048101,A
1020190006579,2001711490000,Y1
1020190006579,2019920005615,Y1
1020190006579,1017488180000,B1
1020190007847,1020050048101,A
1020190007847,2001711490000,Y1
1020190007847,2019920005615,Y1
1020190007847,1017488180000,B1
1020070068835,,10-0302200 B1
1020070068835,,20-0118299 Y1
1020070068835,,20-1992-0008107 U
1020070068835,,10-2000-0073184 A
1020070068835,,20-0126323 U
1020070068835,,20-1988-0002075 Y1
1020120014150,1020100035367,A
1020120014150,2002683140000,Y1
1020140176049,1014076010000,B1
1020140176049,2003559380000,Y1
1020140176049,2019860005095,U
1020120079424,1020110036196,A
1020120079424,1009698150000,B1
1020080018808,1007556460000,B1
1020080018808,1020000014054,A
1020080018808,1020050056043,A
1020150066566,1013251060000,B1
1020150066566,1013291510000,B1
1020150066566,1013472020000,B1
1020150066566,2002496950000,Y1
1020120064835,1009699230000,B1
1020120064835,2004468320000,Y1
1020080027721,1020040103344,A
1020080027721,2003977050000,Y1
1020080027721,2019830001205,Y1
1020080027721,1020060011208,A
1020080027721,1020030027821,A
