출원번호¶특허분류일련번호¶cpc코드¶cpc개정일자
1020167000034¶5¶G05B 2219/45031¶(2013.01)
1020167000034¶6¶B25J 18/02¶(2013.01)
1020177025128¶1¶B25J 9/043¶(2013.01)
1020177025128¶2¶B25J 18/04¶(2013.01)
1020177025128¶3¶B25J 17/00¶(2013.01)
1020180098000¶1¶H04L 67/12¶(2013.01)
1020180098000¶2¶H04L 67/51¶(2013.01)
1020130151021¶1¶H04W 92/18¶(2013.01)
1020130151021¶2¶H04W 88/02¶(2013.01)
1020170126625¶1¶G06F 3/011¶(2013.01)
1020170126625¶2¶G06F 1/163¶(2013.01)
1020170126625¶3¶G06F 1/1684¶(2013.01)
1020170126625¶4¶G06F 1/1635¶(2013.01)
1020170126625¶5¶G06F 3/0346¶(2013.01)
1020170126625¶6¶G06F 2203/011¶(2013.01)
1020170126625¶7¶G06F 2203/0384¶(2013.01)
1020170126625¶8¶H02J 7/00¶(2013.01)
1020170126625¶9¶H04B 2201/71346¶(2013.01)
1020147004289¶1¶G16H 10/00¶(2013.01)
1020150121789¶1¶G06V 40/25¶(2013.01)
1020150121789¶2¶G06F 3/0346¶(2013.01)
